# yyyy mm dd hh mm ss         days  meanSunEl  meanSunAz    NoiseHc    NoiseVc    NoiseHx    NoiseVx    Corr00H    Corr00V   maxPower  quadPower   AzOffset   ElOffset  RatioVcHc  RatioVxHx  RatioVcHx  RatioVxHc  XpolPwrHx  XpolPwrVx  XpolRatio   meanS1S2    zdrCorr xpolRatioDbFromSpdb siteTempFromSpdb XmitPowerH XmitPowerV XmitHVDiff
2015 05 21 15 27 10 16576.643866    45.8075   100.7184   -76.5770   -76.2979   -76.6269   -76.2185     0.1698     0.1605   -61.8573   -81.5624    -1.7883     0.0174     0.3494     0.4695     0.3307     0.4881 -9999.0000 -9999.0000 -9999.0000     0.8189     0.4694    -0.3494 -9999.0000    60.1490    68.8672    -8.7183
2015 05 21 15 31 58 16576.647199    46.7280   101.6557   -76.5770   -76.2979   -76.6269   -76.2185     0.1698     0.1605   -74.8814   -86.3356    -1.8632     0.9064     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.3494    -0.3494 -9999.0000    60.1822    68.9628    -8.7806
2015 05 21 15 39 22 16576.652338    48.1408   103.1456   -76.5770   -76.2979   -76.6269   -76.2185     0.1734     0.1625   -61.8680  -101.5753    -2.5472     0.0095     0.3548     0.4773     0.3442     0.4878 -9999.0000 -9999.0000 -9999.0000     0.8321     0.4827    -0.3494 -9999.0000    60.0673    68.5462    -8.4789
2015 05 21 15 45 57 16576.656910    49.3904   104.5211   -76.5770   -76.2979   -76.6269   -76.2185     0.1734     0.1625   -88.5855  -200.0000    -1.8511    -1.2276     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.3494    -0.3494 -9999.0000    60.1203    68.8277    -8.7074
2015 05 21 15 51 35 16576.660822    50.4535   105.7393   -76.5770   -76.2979   -76.6269   -76.2185     0.0623     0.0588   -61.9020   -68.5290    -1.0466     0.0122     0.3432     0.4759     0.3363     0.4828 -9999.0000 -9999.0000 -9999.0000     0.8191     0.4697    -0.3494 -9999.0000    60.1387    68.7405    -8.6018
2015 05 21 15 57 54 16576.665208    51.6379   107.1547   -76.5770   -76.2979   -76.6269   -76.2185     0.0623     0.0588   -77.9535   -85.6496    -1.1530    -0.5173     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.3494    -0.3494 -9999.0000    60.0163    68.6398    -8.6235
2015 05 21 16 03 46 16576.669282    52.7297   108.5202   -76.5770   -76.2979   -76.6269   -76.2185     0.0117     0.0106   -61.9106   -62.7676    -0.3659     0.0076     0.3530     0.4709     0.3414     0.4825 -9999.0000 -9999.0000 -9999.0000     0.8239     0.4745    -0.3494 -9999.0000    60.1335    68.7690    -8.6355
2015 05 21 16 09 39 16576.673368    53.8158   109.9434   -76.5770   -76.2979   -76.6269   -76.2185     0.0117     0.0106   -77.8543   -77.5131    -0.4515    -0.4362     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.3494    -0.3494 -9999.0000    60.0618    68.8913    -8.8295
2015 05 21 16 15 14 16576.677245    54.8373   111.3482   -76.5770   -76.2979   -76.6269   -76.2185     0.0079     0.0072   -61.8632   -62.0138    -0.1415     0.0117     0.3509     0.4882     0.3424     0.4968 -9999.0000 -9999.0000 -9999.0000     0.8392     0.4898    -0.3494 -9999.0000    60.0221    68.4682    -8.4460
2015 05 21 16 20 24 16576.680833    55.7737   112.6991   -76.5770   -76.2979   -76.6269   -76.2185     0.0079     0.0072   -85.5437    -0.0767     0.3462    -1.7330    -3.3641    -2.7342    -4.5424    -1.5560 -9999.0000 -9999.0000 -9999.0000    -6.0983    -6.4477    -0.3494 -9999.0000    60.0605    68.6859    -8.6254
2015 05 21 16 25 08 16576.684120    56.6235   113.9831   -76.5770   -76.2979   -76.6269   -76.2185     0.0070     0.0057   -61.8771   -61.9078    -0.0339     0.0122     0.3531     0.4750     0.3320     0.4962 -9999.0000 -9999.0000 -9999.0000     0.8282     0.4788    -0.3494 -9999.0000    60.1640    68.8928    -8.7288
2015 05 21 16 29 57 16576.687465    57.4794   115.3387   -76.5770   -76.2979   -76.6269   -76.2185     0.0070     0.0057   -85.9074  -145.3132     0.4789    -1.6606    -3.4453    -3.1981    -5.4806    -1.1628 -9999.0000 -9999.0000 -9999.0000    -6.6433    -6.9927    -0.3494 -9999.0000    60.2074    69.0055    -8.7981
2015 05 21 16 34 45 16576.690799    58.3226   116.7421   -76.5770   -76.2979   -76.6269   -76.2185     0.0068     0.0059   -61.8681   -61.9182    -0.0162     0.0057     0.3359     0.4700     0.3242     0.4817 -9999.0000 -9999.0000 -9999.0000     0.8059     0.4565    -0.3494 -9999.0000    60.1843    69.0092    -8.8249
2015 05 21 16 42 39 16576.696285    59.6871   119.1764   -76.5770   -76.2979   -76.6269   -76.2185     0.0071     0.0052   -61.9095   -61.9502    -0.0175     0.0100     0.3543     0.4769     0.3493     0.4818 -9999.0000 -9999.0000 -9999.0000     0.8312     0.4817    -0.3494 -9999.0000    60.0456    68.7267    -8.6811
2015 05 21 16 47 24 16576.699583    60.4919   120.7212   -76.5770   -76.2979   -76.6269   -76.2185     0.0071     0.0052   -89.0653   -73.2032     0.1843    -1.3767     0.0151    -0.3010    -0.2184    -0.0674 -9999.0000 -9999.0000 -9999.0000    -0.2858    -0.6352    -0.3494 -9999.0000    60.0949    68.7876    -8.6927
2015 05 21 16 52 18 16576.702986    61.3085   122.3840   -76.5770   -76.2979   -76.6269   -76.2185     0.9997     0.0000    -9.3630  -200.0000    -0.2000     0.2389     0.0273     0.7337     0.2911     0.4698 -9999.0000 -9999.0000 -9999.0000     0.7609     0.4115    -0.3494 -9999.0000    60.1405    68.9096    -8.7691
2015 05 21 16 59 54 16576.708264    62.5444   125.1138   -76.5770   -76.2979   -76.6269   -76.2185     0.0054     0.0057   -61.9051   -61.9655    -0.0027     0.0081     0.3555     0.4774     0.3394     0.4936 -9999.0000 -9999.0000 -9999.0000     0.8330     0.4836    -0.3494 -9999.0000    60.0645    68.6936    -8.6291
2015 05 21 17 07 21 16576.713437    63.7149   127.9844   -76.5770   -76.2979   -76.6269   -76.2185     0.0063     0.0056   -61.9629   -61.9728    -0.0025     0.0085     0.3512     0.4673     0.3326     0.4859 -9999.0000 -9999.0000 -9999.0000     0.8185     0.4691    -0.3494 -9999.0000    60.1333    68.8889    -8.7556
2015 05 21 17 14 48 16576.718611    64.8389   131.0673   -76.5770   -76.2979   -76.6269   -76.2185     0.0065     0.0063   -61.9141   -61.9404    -0.0042     0.0113     0.3472     0.4870     0.3404     0.4938 -9999.0000 -9999.0000 -9999.0000     0.8342     0.4848    -0.3494 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 21 17 22 15 16576.723785    65.9096   134.3819   -76.5770   -76.2979   -76.6269   -76.2185     0.0064     0.0053   -61.9139   -61.9488    -0.0022     0.0095     0.3547     0.4848     0.3402     0.4993 -9999.0000 -9999.0000 -9999.0000     0.8395     0.4901    -0.3494 -9999.0000    60.1170    68.7446    -8.6276
2015 05 21 17 29 42 16576.728958    66.9191   137.9470   -76.5770   -76.2979   -76.6269   -76.2185     0.0061     0.0054   -61.9578   -61.9859    -0.0022     0.0001     0.3419     0.4687     0.3317     0.4789 -9999.0000 -9999.0000 -9999.0000     0.8106     0.0428    -0.7679 -9999.0000    60.1772    68.9587    -8.7815
2015 05 21 17 37 09 16576.734132    67.8588   141.7794   -76.5770   -76.2979   -76.6269   -76.2185     0.0065     0.0055   -61.9792   -61.9743    -0.0024     0.0004     0.3412     0.4692     0.3269     0.4835 -9999.0000 -9999.0000 -9999.0000     0.8104     0.0425    -0.7679 -9999.0000    60.1715    68.9590    -8.7875
2015 05 21 17 44 35 16576.739294    68.7174   145.8820   -76.5770   -76.2979   -76.6269   -76.2185     0.0070     0.0055   -61.9634   -61.9761    -0.0031     0.0004     0.3539     0.4819     0.3448     0.4909 -9999.0000 -9999.0000 -9999.0000     0.8358     0.0679    -0.7679 -9999.0000    60.0516    68.7528    -8.7012
2015 05 21 17 52 02 16576.744468    69.4885   150.2790   -76.5770   -76.2979   -76.6269   -76.2185     0.0054     0.0051   -61.9878   -61.9961    -0.0031     0.0001     0.3485     0.4785     0.3411     0.4860 -9999.0000 -9999.0000 -9999.0000     0.8270     0.0591    -0.7679 -9999.0000    60.1114    68.8173    -8.7058
2015 05 21 17 55 55 16576.747164    69.8514   152.6834   -76.5770   -76.2979   -76.6269   -76.2185     0.0054     0.0051   -88.9912   -94.7966     0.9882    -1.4647     0.2271    -0.6741    -0.4129    -0.0341 -9999.0000 -9999.0000 -9999.0000    -0.4470    -1.2149    -0.7679 -9999.0000    60.1825    68.8965    -8.7140
2015 05 21 20 19 42 16576.847014    60.9048   238.5360   -76.5770   -76.2979   -76.6269   -76.2185     0.0054     0.0051  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7679    -0.7679 -9999.0000    60.2072    67.0015    -6.7943
2015 05 21 22 43 19 16576.946748    33.9833   269.8399   -76.5770   -76.2979   -76.6269   -76.2185     0.0054     0.0051  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7046    -0.7046 -9999.0000    60.2103    68.9303    -8.7200
2015 05 21 22 47 04 16576.949352    33.2511   270.4236   -76.5770   -76.2979   -76.6269   -76.2185     0.0031     0.0045   -61.9891   -62.0115    -0.0063    -0.0541     0.4578     0.5694     0.4348     0.5925    -0.3606     0.3330    -0.6936     1.0273     0.3227    -0.7046 -9999.0000    88.9983    89.1687    -0.1704
2015 05 21 22 54 33 16576.954549    31.7904   271.5744   -76.5770   -76.2979   -76.6269   -76.2185     0.0029     0.0029   -62.0003   -62.0023    -0.0095    -0.0504     0.4455     0.5839     0.4412     0.5883    -0.3531     0.3265    -0.6796     1.0295     0.3252    -0.7042 -9999.0000    89.1496    89.2871    -0.1375
2015 05 21 22 59 11 16576.957766    30.8864   272.2784   -76.5770   -76.2979   -76.6269   -76.2185     0.0029     0.0029   -80.1621  -215.4053    -0.0335    -1.2602     5.1316     4.5974     4.2991     5.4299    -0.3653     0.3369    -0.7022     9.7290     9.0248    -0.7042 -9999.0000    89.1563    89.2928    -0.1365
2015 05 21 23 00 10 16576.958449    30.6946   272.4270   -76.5770   -76.2979   -76.6269   -76.2185     0.0029     0.0029  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.7042    -0.7042 -9999.0000    88.7740    88.9053    -0.1312
2015 05 24 10 21 17 16579.431447   -10.4866    52.5483   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3666     0.3380    -0.7046     0.0000    -0.6895    -0.6895 -9999.0000    89.0577    89.1767    -0.1190
2015 05 24 10 24 48 16579.433889    -9.9383    53.1707   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3772     0.3470    -0.7242     0.0000    -0.6895    -0.6895 -9999.0000    89.0603    89.1803    -0.1200
2015 05 24 10 28 18 16579.436319    -9.3881    53.7850   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3635     0.3354    -0.6989     0.0000    -0.6895    -0.6895 -9999.0000    89.0770    89.1903    -0.1133
2015 05 24 10 31 49 16579.438762    -8.8309    54.3972   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3930     0.3604    -0.7535     0.0000    -0.6895    -0.6895 -9999.0000    89.0803    89.2003    -0.1200
2015 05 24 10 35 19 16579.441192    -8.2722    55.0017   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3582     0.3309    -0.6891     0.0000    -0.6895    -0.6895 -9999.0000    89.0750    89.1951    -0.1201
