# yyyy mm dd hh mm ss         days  meanSunEl  meanSunAz    NoiseHc    NoiseVc    NoiseHx    NoiseVx    Corr00H    Corr00V   maxPower  quadPower   AzOffset   ElOffset  RatioVcHc  RatioVxHx  RatioVcHx  RatioVxHc  XpolPwrHx  XpolPwrVx  XpolRatio   meanS1S2    zdrCorr xpolRatioDbFromSpdb siteTempFromSpdb XmitPowerH XmitPowerV XmitHVDiff
2015 05 24 10 38 50 16579.443634    -7.7066    55.6042   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4150     0.3788    -0.7938     0.0000    -0.6895    -0.6895 -9999.0000    89.0703    89.1903    -0.1200
2015 05 24 10 42 20 16579.446065    -7.1397    56.1991   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3661     0.3376    -0.7037     0.0000    -0.6895    -0.6895 -9999.0000    89.0600    89.1742    -0.1142
2015 05 24 10 45 51 16579.448507    -6.5661    56.7923   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3490     0.3230    -0.6720     0.0000    -0.6895    -0.6895 -9999.0000    89.0603    89.1803    -0.1200
2015 05 24 10 49 21 16579.450938    -5.9914    57.3782   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3619     0.3341    -0.6960     0.0000    -0.6895    -0.6895 -9999.0000    89.0650    89.1861    -0.1211
2015 05 24 10 52 51 16579.453368    -5.4129    57.9597   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4162     0.3798    -0.7959     0.0000    -0.6895    -0.6895 -9999.0000    89.0703    89.1803    -0.1100
2015 05 24 10 56 21 16579.455799    -4.8308    58.5369   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3640     0.3358    -0.6998     0.0000    -0.6895    -0.6895 -9999.0000    89.0775    89.1952    -0.1177
2015 05 24 10 59 52 16579.458241    -4.2423    59.1128   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3510     0.3247    -0.6757     0.0000    -0.6895    -0.6895 -9999.0000    89.0803    89.2003    -0.1200
2015 05 24 11 03 22 16579.460671    -3.6530    59.6818   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3682     0.3394    -0.7076     0.0000    -0.6895    -0.6895 -9999.0000    89.0654    89.1847    -0.1193
2015 05 24 11 06 53 16579.463113    -3.0575    60.2495   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3671     0.3385    -0.7056     0.0000    -0.6895    -0.6895 -9999.0000    89.0603    89.1703    -0.1100
2015 05 24 11 10 23 16579.465544    -2.4615    60.8107   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3649     0.3366    -0.7015     0.0000    -0.6895    -0.6895 -9999.0000    89.0595    89.1751    -0.1156
2015 05 24 11 13 54 16579.467986    -1.8594    61.3708   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4344     0.3949    -0.8293     0.0000    -0.6895    -0.6895 -9999.0000    89.0603    89.1803    -0.1200
2015 05 24 11 17 24 16579.470417    -1.2570    61.9246   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3495     0.3235    -0.6730     0.0000    -0.6895    -0.6895 -9999.0000    89.0739    89.1880    -0.1141
2015 05 24 11 20 55 16579.472859    -0.0610    62.4775   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6895    -0.6895 -9999.0000    89.0703    89.1903    -0.1200
2015 05 24 11 24 25 16579.475289     0.4478    63.0243   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000   -87.5623  -115.2837     2.3896     1.3454     2.5142     0.1606    20.3926   -17.7178    -0.3520     0.3256    -0.6776     2.6748     1.9853    -0.6895 -9999.0000    89.0789    89.1989    -0.1200
2015 05 24 11 27 56 16579.477731     0.9821    63.5704   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3272     0.3043    -0.6315     0.0000    -0.6895    -0.6895 -9999.0000    89.0803    89.2003    -0.1200
2015 05 24 11 31 26 16579.480162     1.5338    64.1108   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000   -85.9754  -145.6989     0.1145    -0.2029     0.0000     0.0000     0.0000     0.0000    -0.3672     0.3385    -0.7057     0.0000    -0.6895    -0.6895 -9999.0000    89.0563    89.1756    -0.1192
2015 05 24 11 34 57 16579.482604     2.1045    64.6505   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.4002     0.3664    -0.7666     0.0000    -0.6895    -0.6895 -9999.0000    89.0503    89.1703    -0.1200
2015 05 24 11 38 27 16579.485035     2.6856    65.1848   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000   -79.9967  -229.2602     3.2376    -1.6287     0.2284     2.2849     7.0316    -4.5182    -0.3706     0.3414    -0.7120     2.5134     1.8239    -0.6895 -9999.0000    89.0623    89.1788    -0.1166
2015 05 24 11 41 58 16579.487477     3.2799    65.7186   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3561     0.3291    -0.6851     0.0000    -0.6895    -0.6895 -9999.0000    89.0703    89.1803    -0.1100
2015 05 24 11 42 47 16579.488044     3.4193    65.8422   -76.5770   -76.2979   -76.6269   -76.2185     0.0000     0.0000   -93.5251  -337.1761    -2.2846    -2.0000     3.7892     0.2445     7.9024    -3.8687    -0.3686     0.3397    -0.7083     4.0337     3.3442    -0.6895 -9999.0000    89.0708    89.1892    -0.1185
2015 05 25 13 39 54 16580.569375    25.2967    82.5591   -76.5770   -76.2979   -76.6269   -76.2185     0.0075     0.0074   -62.2550   -62.2729    -0.0135     0.0323     0.3921     0.5205     0.3729     0.5397    -0.3525     0.3260    -0.6785     0.9126     0.2195    -0.6931 -9999.0000    89.1523    89.2793    -0.1270
2015 05 25 13 44 18 16580.572431    26.1492    83.1928   -76.5770   -76.2979   -76.6269   -76.2185     0.0075     0.0074   -86.6764  -145.9388     0.5453    -1.7401     1.2176     0.4898    -5.7594     7.4668    -0.3404     0.3157    -0.6561     1.7074     1.0144    -0.6931 -9999.0000    89.1389    89.2622    -0.1232
2015 05 25 13 49 04 16580.575741    27.0742    83.8824   -76.5770   -76.2979   -76.6269   -76.2185     0.0072     0.0073   -62.2939   -62.2655    -0.0121     0.0013     0.3960     0.5262     0.3925     0.5298    -0.3630     0.3350    -0.6980     0.9223     0.2292    -0.6931 -9999.0000    89.1298    89.2579    -0.1281
2015 05 25 13 53 42 16580.578958    27.9745    84.5563   -76.5770   -76.2979   -76.6269   -76.2185     0.0072     0.0073   -88.5775  -146.4902     0.8021    -1.8106     1.0598     3.3973    -6.5625    11.0197    -0.3369     0.3127    -0.6496     4.4571     3.7790    -0.6781 -9999.0000    89.1103    89.2387    -0.1284
2015 05 25 13 58 22 16580.582199    28.8824    85.2389   -76.5770   -76.2979   -76.6269   -76.2185     0.0087     0.0065   -62.1774   -62.2177    -0.0031     0.0009     0.4012     0.5000     0.3739     0.5274    -0.3665     0.3380    -0.7045     0.9013     0.2231    -0.6781 -9999.0000    89.1010    89.2271    -0.1261
2015 05 25 14 03 18 16580.585625    29.8432    85.9654   -76.5770   -76.2979   -76.6269   -76.2185     0.0087     0.0065   -82.1219   -54.2409    -0.1235    -1.4955     2.5774     2.4193     1.7266     3.2701    -0.3814     0.3506    -0.7319     4.9968     4.3187    -0.6781 -9999.0000    89.1412    89.2702    -0.1290
2015 05 25 14 04 09 16580.586215    30.0088    86.0911   -76.5770   -76.2979   -76.6269   -76.2185     0.0087     0.0065  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6781    -0.6781 -9999.0000    89.1603    89.2803    -0.1200
2015 05 26 00 09 16 16581.006435    17.8496   283.0647   -76.5770   -76.2979   -76.6269   -76.2185     0.0082     0.0069   -62.1850   -62.2436    -0.0056    -0.0477     0.3984     0.5123     0.3757     0.5350    -0.3229     0.3005    -0.6234     0.9107     0.2468    -0.6639 -9999.0000    89.0549    89.2027    -0.1478
2015 05 26 00 16 40 16581.011574    16.4484   284.1139   -76.5770   -76.2979   -76.6269   -76.2185     0.0099     0.0074   -62.2215   -62.2439    -0.0063    -0.0397     0.4039     0.5264     0.3907     0.5396    -0.3181     0.2963    -0.6144     0.9303     0.2663    -0.6639 -9999.0000    89.0421    89.1871    -0.1450
2015 05 26 00 21 21 16581.014826    15.5653   284.7788   -76.5770   -76.2979   -76.6269   -76.2185     0.0099     0.0074   -79.1781   -60.0737    -0.0378    -1.4156     1.6656     1.6555     1.3853     1.9359    -0.3198     0.2978    -0.6176     3.3211     2.6576    -0.6635 -9999.0000    89.0465    89.1927    -0.1462
2015 05 26 00 27 04 16581.018796    14.4915   285.5918   -76.5770   -76.2979   -76.6269   -76.2185     0.0072     0.0077   -62.2198   -62.2818    -0.0058    -0.0213     0.4019     0.5032     0.3723     0.5327    -0.3207     0.2987    -0.6194     0.9050     0.2415    -0.6635 -9999.0000    89.0537    89.2002    -0.1465
2015 05 26 00 35 33 16581.024688    12.9072   286.8022   -76.5770   -76.2979   -76.6269   -76.2185     0.0081     0.0089   -62.2097   -62.2945    -0.0070    -0.0223     0.4103     0.5131     0.3768     0.5467    -0.3212     0.2991    -0.6202     0.9234     0.2599    -0.6635 -9999.0000    89.0418    89.1862    -0.1444
2015 05 26 00 39 22 16581.027338    12.1982   287.3487   -76.5770   -76.2979   -76.6269   -76.2185     0.0081     0.0089  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3285     0.3054    -0.6339     0.0000    -0.6635    -0.6635 -9999.0000    89.0531    89.2003    -0.1472
2015 05 26 09 20 52 16581.389491   -18.8263    40.7154   -76.5770   -76.2979   -76.6269   -76.2185     0.0081     0.0089  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    -0.3404     0.3157    -0.6561     0.0000    -0.6635    -0.6635 -9999.0000    89.0566    89.2003    -0.1438
2015 05 26 18 02 16 16581.751574    71.2262   155.5154   -76.5770   -76.2979   -76.6269   -76.2185     0.0081     0.0089  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6663    -0.6663 -9999.0000    89.0603    89.2003    -0.1400
2015 05 26 18 05 53 16581.754086    71.5055   158.0047   -76.5770   -76.2979   -76.6269   -76.2185     0.0021     0.0032   -62.3069   -62.3250    -0.0299    -0.0210     0.3424     0.4470     0.3197     0.4697    -0.3568     0.3297    -0.6865     0.7894     0.1231    -0.6663 -9999.0000    89.0632    89.2149    -0.1517
2015 05 26 18 10 45 16581.757465    71.8357   161.4559   -76.5770   -76.2979   -76.6269   -76.2185     0.0021     0.0032   -71.9698   -73.0042    -0.0741    -0.4360     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6663    -0.6663 -9999.0000    89.0226    89.1839    -0.1613
2015 05 26 19 34 01 16581.815289    68.5066   220.2511   -76.5770   -76.2979   -76.6269   -76.2185     0.0021     0.0032  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6663    -0.6663 -9999.0000    60.0003    68.7203    -8.7200
2015 05 26 20 56 02 16581.872245    55.1895   250.3245   -76.5770   -76.2979   -76.6269   -76.2185     0.0021     0.0032  -120.0000  -120.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000 -9999.0000 -9999.0000 -9999.0000     0.0000    -0.6787    -0.6787 -9999.0000    60.0003    68.7203    -8.7200
2015 05 26 20 59 42 16581.874792    54.5132   251.2314   -76.5770   -76.2979   -76.6269   -76.2185     0.0099     0.0080   -62.2880   -62.3446    -0.0283    -0.0401     0.3679     0.4866     0.3562     0.4982 -9999.0000 -9999.0000 -9999.0000     0.8545     0.1758    -0.6787 -9999.0000    60.0158    68.8652    -8.8494
2015 05 26 21 06 48 16581.879722    53.1936   252.9233   -76.5770   -76.2979   -76.6269   -76.2185     0.0093     0.0076   -62.3892   -62.3876    -0.0296    -0.0462     0.3687     0.4941     0.3578     0.5050 -9999.0000 -9999.0000 -9999.0000     0.8628     0.1841    -0.6787 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 26 21 13 57 16581.884688    51.8528   254.5489   -76.5770   -76.2979   -76.6269   -76.2185     0.0084     0.0074   -62.3809   -62.3719    -0.0291    -0.0413     0.3722     0.4836     0.3575     0.4983 -9999.0000 -9999.0000 -9999.0000     0.8558     0.1771    -0.6787 -9999.0000    60.0161    68.8165    -8.8004
2015 05 26 21 21 24 16581.889861    50.4448   256.1676   -76.5770   -76.2979   -76.6269   -76.2185     0.0098     0.0067   -62.3692   -62.3781    -0.0270    -0.0422     0.3653     0.4836     0.3503     0.4986 -9999.0000 -9999.0000 -9999.0000     0.8490     0.1703    -0.6787 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 26 21 28 50 16581.895023    49.0304   257.7145   -76.5770   -76.2979   -76.6269   -76.2185     0.0097     0.0083   -62.2937   -62.3497    -0.0255    -0.0459     0.3564     0.4902     0.3464     0.5001 -9999.0000 -9999.0000 -9999.0000     0.8466     0.1679    -0.6787 -9999.0000 -9999.0000 -9999.0000 -9999.0000
2015 05 26 21 36 16 16581.900185    47.6079   259.2002   -76.5770   -76.2979   -76.6269   -76.2185     0.0084     0.0083   -62.4159   -62.4161    -0.0245    -0.0434     0.4301     0.5409     0.4163     0.5547    -0.3340     0.3102    -0.6442     0.9710     0.2923    -0.6787 -9999.0000    88.7650    86.8545     1.9105
2015 05 26 21 43 42 16581.905347    46.1784   260.6311   -76.5770   -76.2979   -76.6269   -76.2185     0.0089     0.0078   -62.3983   -62.4003    -0.0229    -0.0383     0.4112     0.5428     0.4067     0.5474 -9999.0000 -9999.0000 -9999.0000     0.9541     0.2754    -0.6787 -9999.0000    89.1835    89.3523    -0.1688
